Position,YearsExperience,EducationLevel,Industry,Location,Salary(INR)
NLP Engineer,2.8,PhD,Finance,Mumbai,1288000.0
Machine Learning Engineer,12.3,Bachelors,Finance,Bangalore,1488000.0
Computer Vision Engineer,4.8,Bachelors,Manufacturing,Remote,897000.0
Machine Learning Engineer,1.7,Bachelors,IT,Delhi,676000.0
MLOps Engineer,12.4,Masters,Healthcare,Chennai,2416000.0
Computer Vision Engineer,9.5,PhD,Education,Remote,2083000.0
Machine Learning Engineer,7.6,PhD,Healthcare,Remote,1891000.0
NLP Engineer,6.7,Masters,Healthcare,Chennai,1361000.0
Data Scientist,14.9,Masters,Healthcare,Remote,2803000.0
Software Engineer,0.8,PhD,Education,Pune,814000.0
Business Intelligence Analyst,3.6,Masters,IT,Pune,1108000.0
Machine Learning Engineer,12.3,Masters,Healthcare,Chennai,2412000.0
NLP Engineer,2.5,PhD,Education,Delhi,1063000.0
NLP Engineer,2.9,Bachelors,Manufacturing,Hyderabad,812000.0
NLP Engineer,1.5,Masters,Finance,Mumbai,875000.0
Computer Vision Engineer,11.5,Bachelors,Finance,Chennai,1518000.0
Data Scientist,10.7,PhD,IT,Pune,1701000.0
AI Researcher,1.8,PhD,Healthcare,Bangalore,1098000.0
Machine Learning Engineer,4.1,Masters,IT,Delhi,1148000.0
MLOps Engineer,14.5,Bachelors,Healthcare,Remote,1706000.0
Data Scientist,1.2,Bachelors,Retail,Mumbai,487000.0
MLOps Engineer,10.7,PhD,Healthcare,Mumbai,2318000.0
Machine Learning Engineer,3.8,Masters,IT,Chennai,909000.0
Data Scientist,6.9,Bachelors,Manufacturing,Chennai,965000.0
Big Data Engineer,12.1,Bachelors,Healthcare,Bangalore,1411000.0
MLOps Engineer,12.4,PhD,Education,Hyderabad,2521000.0
MLOps Engineer,4.4,PhD,IT,Pune,1285000.0
Computer Vision Engineer,7.4,PhD,Retail,Hyderabad,1433000.0
Computer Vision Engineer,9.0,Masters,Finance,Bangalore,1617000.0
Data Analyst,11.3,PhD,Manufacturing,Pune,2109000.0
MLOps Engineer,0.5,Masters,IT,Hyderabad,676000.0
Computer Vision Engineer,11.0,Masters,Healthcare,Pune,1836000.0
AI Researcher,3.4,Bachelors,Retail,Mumbai,782000.0
MLOps Engineer,5.7,Bachelors,Retail,Bangalore,1090000.0
Data Scientist,3.5,Masters,Finance,Delhi,998000.0
NLP Engineer,2.2,PhD,Manufacturing,Chennai,1016000.0
Data Scientist,13.1,Bachelors,Healthcare,Delhi,1892000.0
MLOps Engineer,4.7,PhD,Education,Mumbai,1366000.0
Machine Learning Engineer,2.1,Bachelors,Manufacturing,Bangalore,586000.0
Data Analyst,13.9,Masters,IT,Pune,2547000.0
Data Scientist,2.9,PhD,Retail,Delhi,974000.0
Machine Learning Engineer,5.7,PhD,Education,Hyderabad,1453000.0
Data Analyst,3.6,PhD,Education,Delhi,1247000.0
Computer Vision Engineer,11.7,Masters,Retail,Delhi,1834000.0
Business Intelligence Analyst,9.9,PhD,Healthcare,Pune,1969000.0
Big Data Engineer,6.1,Masters,Retail,Delhi,1415000.0
Business Intelligence Analyst,12.9,Masters,IT,Remote,1786000.0
Software Engineer,3.9,Bachelors,Manufacturing,Delhi,847000.0
Big Data Engineer,0.7,Masters,Finance,Bangalore,744000.0
Data Scientist,10.8,Masters,Finance,Chennai,1800000.0
NLP Engineer,14.7,PhD,Education,Pune,2808000.0
Machine Learning Engineer,10.9,Bachelors,Education,Hyderabad,1334000.0
NLP Engineer,10.2,PhD,Retail,Mumbai,1731000.0
Software Engineer,8.7,PhD,Education,Hyderabad,1793000.0
MLOps Engineer,8.3,PhD,Finance,Chennai,1678000.0
Computer Vision Engineer,8.4,PhD,Manufacturing,Chennai,1759000.0
Business Intelligence Analyst,7.2,Masters,Healthcare,Mumbai,1457000.0
Big Data Engineer,9.7,Masters,Education,Pune,1710000.0
Business Intelligence Analyst,4.4,PhD,Manufacturing,Delhi,1193000.0
Software Engineer,1.9,Bachelors,IT,Chennai,559000.0
MLOps Engineer,2.9,Bachelors,Finance,Chennai,866000.0
NLP Engineer,1.5,PhD,Manufacturing,Pune,989000.0
NLP Engineer,6.9,Bachelors,Manufacturing,Pune,1185000.0
Data Scientist,8.2,PhD,Education,Hyderabad,1375000.0
MLOps Engineer,3.2,Bachelors,IT,Delhi,799000.0
Data Analyst,2.2,Bachelors,IT,Delhi,640000.0
Software Engineer,1.4,Masters,Manufacturing,Hyderabad,761000.0
AI Researcher,7.3,Bachelors,Manufacturing,Mumbai,1099000.0
Big Data Engineer,6.3,PhD,Manufacturing,Delhi,1550000.0
Business Intelligence Analyst,14.9,PhD,Healthcare,Pune,2791000.0
NLP Engineer,15.0,Masters,Retail,Hyderabad,2389000.0
Data Scientist,0.6,PhD,Manufacturing,Mumbai,875000.0
Business Intelligence Analyst,14.0,PhD,Education,Delhi,2552000.0
Computer Vision Engineer,14.3,Masters,Manufacturing,Chennai,2396000.0
AI Researcher,9.9,Bachelors,Healthcare,Bangalore,1694000.0
MLOps Engineer,12.1,Masters,Retail,Remote,1939000.0
NLP Engineer,14.8,Bachelors,Retail,Chennai,2481000.0
AI Researcher,10.6,Masters,Manufacturing,Delhi,2027000.0
Computer Vision Engineer,12.1,Bachelors,Manufacturing,Hyderabad,1695000.0
Data Analyst,8.8,Masters,Manufacturing,Bangalore,1612000.0
AI Researcher,3.0,Bachelors,Retail,Pune,712000.0
